#Measurements from IMU
#Number of channels: 9
#Number of samples: 2283
#Frequency: 200.000 Hz
#Unit system: SI

#Time	Roll	Pitch	Yaw	Angular velocity X	Angular velocity Y	Angular velocity Z	Linear acceleration X	Linear acceleration Y	Linear acceleration Z
0.470	0.000	0.033	-0.000	0.025	0.090	-0.077	0.480	0.004	-0.500
0.475	0.000	0.033	-0.000	0.001	0.194	0.017	0.477	-0.006	-0.500
0.480	0.000	0.034	-0.000	-0.026	0.219	-0.048	0.465	0.004	-0.500
0.485	0.000	0.034	-0.000	-0.022	0.136	-0.057	0.487	0.005	-0.500
0.490	0.000	0.035	-0.000	0.022	0.194	-0.230	0.500	-0.015	-0.500
0.495	0.000	0.036	-0.000	-0.027	0.150	0.010	0.500	0.006	-0.500
0.500	0.000	0.036	-0.000	0.079	0.079	-0.012	0.500	-0.005	-0.500
0.505	0.000	0.037	-0.000	0.007	0.123	-0.176	0.500	0.011	-0.500
0.510	0.000	0.037	-0.000	0.004	0.202	-0.149	0.500	-0.004	-0.500
0.515	0.000	0.038	-0.000	-0.006	0.074	-0.130	0.500	-0.028	-0.500
0.520	0.000	0.039	-0.000	0.043	0.117	-0.019	0.500	-0.003	-0.500
0.525	0.000	0.039	-0.000	-0.067	0.111	0.166	0.500	-0.004	-0.500
0.530	0.000	0.040	-0.000	-0.010	0.103	0.164	0.500	-0.006	-0.500
0.535	0.000	0.041	-0.000	0.043	0.129	0.091	0.500	0.011	-0.500
0.540	0.000	0.041	-0.000	-0.068	0.124	-0.016	0.500	0.008	-0.500
0.545	0.000	0.042	-0.000	0.027	0.091	-0.070	0.500	0.001	-0.500
0.550	0.000	0.042	-0.000	0.049	0.154	-0.024	0.500	-0.009	-0.500
0.555	0.000	0.043	-0.000	0.008	0.106	0.127	0.500	-0.002	-0.500
0.560	0.000	0.044	-0.000	-0.040	0.094	0.005	0.500	0.003	-0.500
0.565	0.000	0.044	-0.000	0.005	0.248	-0.148	0.500	0.010	-0.500
0.570	0.000	0.045	-0.000	-0.036	0.154	-0.121	0.500	0.002	-0.500
0.575	0.000	0.045	-0.000	-0.006	0.094	-0.041	0.500	-0.006	-0.500
0.580	0.000	0.046	-0.000	0.039	0.090	0.013	0.500	0.015	-0.500
0.585	0.000	0.047	-0.000	-0.014	0.106	0.072	0.500	-0.002	-0.500
0.590	0.000	0.047	-0.000	0.006	0.109	0.127	0.500	-0.026	-0.500
0.595	0.000	0.048	-0.000	-0.011	0.132	0.006	0.500	-0.005	-0.500
0.600	0.000	0.049	-0.000	-0.031	0.170	-0.135	0.500	-0.006	-0.500
0.605	0.000	0.049	-0.000	0.008	0.156	0.074	0.500	-0.006	-0.500
0.610	0.000	0.050	-0.000	0.040	0.067	-0.035	0.500	-0.013	-0.500
0.615	0.000	0.050	-0.000	0.031	0.167	0.206	0.500	-0.008	-0.500
0.620	0.000	0.051	-0.000	-0.053	0.109	0.067	0.500	0.013	-0.500
0.625	0.000	0.052	-0.000	0.026	0.131	0.036	0.500	0.003	-0.500
0.630	0.000	0.052	-0.000	0.034	0.166	0.152	0.500	-0.009	-0.500
0.635	0.000	0.053	-0.000	0.010	0.149	-0.122	0.500	0.005	-0.500
0.640	0.000	0.054	-0.000	-0.031	0.099	0.177	0.500	-0.013	-0.500
0.645	0.000	0.054	-0.000	-0.012	0.032	0.026	0.500	0.012	-0.500
0.650	0.000	0.055	-0.000	-0.013	0.145	0.079	0.500	-0.027	-0.500
0.655	0.000	0.055	-0.000	-0.006	0.283	0.048	0.500	0.006	-0.500
0.660	0.000	0.056	-0.000	-0.023	0.122	0.011	0.500	0.002	-0.500
0.665	0.000	0.057	-0.000	0.008	0.086	-0.012	0.500	0.000	-0.500
0.670	0.000	0.057	-0.000	0.003	0.102	0.065	0.500	0.008	-0.500
0.675	0.000	0.058	-0.000	0.092	0.162	-0.105	0.500	0.003	-0.500
0.680	0.000	0.059	-0.000	-0.049	0.089	-0.020	0.500	-0.012	-0.500
0.685	0.000	0.059	-0.000	-0.022	0.140	-0.029	0.500	-0.008	-0.500
0.690	0.000	0.060	-0.000	0.046	0.168	-0.096	0.500	-0.027	-0.500
0.695	0.000	0.060	-0.000	0.074	0.183	0.049	0.500	-0.004	-0.500
0.700	0.000	0.061	-0.000	0.103	0.155	-0.275	0.500	-0.009	-0.500
0.705	0.000	0.062	-0.000	-0.010	0.082	-0.121	0.500	0.019	-0.500
0.710	0.000	0.062	-0.000	0.014	0.133	0.177	0.500	-0.006	-0.500
0.715	0.000	0.063	-0.000	0.002	0.076	-0.122	0.500	0.011	-0.500
0.720	0.000	0.064	-0.000	0.023	0.086	-0.129	0.500	-0.019	-0.500
0.725	0.000	0.064	-0.000	-0.002	0.109	-0.085	0.500	0.001	-0.500
0.730	0.000	0.065	-0.000	-0.016	0.126	-0.005	0.500	-0.001	-0.500
0.735	0.000	0.065	-0.000	-0.004	0.167	0.021	0.500	-0.001	-0.500
0.740	0.000	0.066	-0.000	-0.066	0.131	-0.097	0.500	0.009	-0.500
0.745	0.000	0.067	-0.000	0.065	0.124	-0.040	0.500	-0.017	-0.500
0.750	0.000	0.067	-0.000	0.012	0.162	0.195	0.500	0.013	-0.500
0.755	0.000	0.068	-0.000	-0.004	0.155	-0.094	0.500	-0.013	-0.500
0.760	0.000	0.069	-0.000	-0.010	0.039	-0.086	0.500	0.008	-0.500
0.765	0.000	0.069	-0.000	-0.029	0.140	0.106	0.500	-0.007	-0.500
0.770	0.000	0.070	-0.000	-0.036	0.029	0.091	0.500	0.018	-0.500
0.775	0.000	0.070	-0.000	-0.011	0.086	-0.040	0.500	-0.004	-0.500
0.780	0.000	0.071	-0.000	-0.062	0.121	-0.033	0.500	0.015	-0.500
0.785	0.000	0.072	-0.000	-0.007	0.060	-0.112	0.500	0.001	-0.500
0.790	0.000	0.072	-0.000	-0.016	0.133	-0.021	0.500	-0.013	-0.500
0.795	0.000	0.073	-0.000	0.037	0.127	-0.093	0.500	0.007	-0.500
0.800	0.000	0.073	-0.000	0.003	0.127	-0.065	0.500	0.006	-0.500
0.805	0.000	0.074	-0.000	0.017	0.147	-0.058	0.500	-0.002	-0.500
0.810	0.000	0.075	-0.000	0.020	0.098	0.077	0.500	0.021	-0.500
0.815	0.000	0.075	-0.000	-0.040	0.041	-0.034	0.500	0.007	-0.500
0.820	0.000	0.076	-0.000	-0.049	0.095	-0.128	0.500	0.003	-0.500
0.825	0.000	0.076	-0.000	0.039	0.153	0.066	0.500	-0.001	-0.500
0.830	0.000	0.077	-0.000	0.049	0.127	0.173	0.500	-0.004	-0.500
0.835	0.000	0.077	-0.000	0.050	0.110	-0.002	0.500	-0.003	-0.500
0.840	0.000	0.078	-0.000	0.071	0.240	-0.075	0.500	0.016	-0.500
0.845	0.000	0.079	-0.000	-0.034	0.137	0.047	0.500	-0.021	-0.500
0.850	0.000	0.079	-0.000	0.104	0.078	-0.030	0.500	0.006	-0.500
0.855	0.000	0.080	-0.000	-0.030	0.136	-0.168	0.500	0.007	-0.500
0.860	0.000	0.080	-0.000	0.020	0.110	-0.091	0.500	-0.015	-0.500
0.865	0.000	0.081	-0.000	-0.122	0.069	0.077	0.500	-0.013	-0.500
0.870	0.000	0.082	-0.000	0.069	0.115	-0.117	0.500	-0.003	-0.500
0.875	0.000	0.082	-0.000	-0.006	0.142	0.118	0.500	0.006	-0.500
0.880	0.000	0.083	-0.000	0.068	0.068	-0.030	0.500	0.004	-0.500
0.885	0.000	0.083	-0.000	0.064	0.065	0.086	0.500	0.009	-0.500
0.890	0.000	0.084	-0.000	-0.032	0.076	0.128	0.500	0.001	-0.500
0.895	0.000	0.084	-0.000	-0.141	0.055	0.105	0.500	0.005	-0.500
0.900	0.000	0.085	-0.000	0.043	0.058	0.051	0.500	-0.009	-0.500
0.905	0.000	0.085	-0.000	0.021	0.093	-0.040	0.500	-0.012	-0.500
0.910	0.000	0.086	-0.000	0.028	0.027	0.003	0.500	-0.012	-0.500
0.915	0.000	0.087	-0.000	0.035	0.136	0.001	0.500	0.009	-0.500
0.920	0.000	0.087	-0.000	0.019	0.024	-0.121	0.500	-0.004	-0.500
0.925	0.000	0.088	-0.000	-0.049	0.142	-0.030	0.500	0.016	-0.500
0.930	0.000	0.088	-0.000	0.003	0.177	-0.006	0.500	-0.016	-0.500
0.935	0.000	0.089	-0.000	0.019	0.061	0.069	0.500	-0.001	-0.500
0.940	0.000	0.089	-0.000	-0.068	0.066	-0.132	0.500	0.020	-0.500
0.945	0.000	0.090	-0.000	0.024	0.057	-0.055	0.500	-0.017	-0.500
0.950	0.000	0.090	-0.000	0.029	0.070	0.122	0.500	-0.017	-0.500
0.955	0.000	0.091	-0.000	0.055	0.076	-0.088	0.500	-0.006	-0.500
0.960	0.000	0.091	-0.000	-0.030	0.068	0.047	0.500	0.005	-0.500
0.965	0.000	0.092	-0.000	-0.074	0.073	-0.153	0.500	-0.004	-0.500
0.970	0.000	0.092	-0.000	-0.052	0.140	-0.078	0.500	-0.011	-0.500
0.975	0.000	0.093	-0.000	-0.078	0.098	0.042	0.500	-0.004	-0.500
0.980	0.000	0.093	-0.000	-0.058	0.054	0.065	0.500	-0.004	-0.500
0.985	0.000	0.094	-0.000	0.050	0.088	0.077	0.500	0.006	-0.500
0.990	0.000	0.094	-0.000	-0.003	0.063	-0.102	0.500	-0.012	-0.500
0.995	0.000	0.095	-0.000	0.062	-0.002	-0.070	0.500	-0.002	-0.500
1.000	0.000	0.095	-0.000	0.065	-0.024	-0.047	0.500	0.003	-0.500
1.005	0.000	0.096	-0.000	-0.003	0.146	0.056	0.500	-0.011	-0.500
1.010	0.000	0.096	-0.000	0.020	0.162	-0.230	0.500	-0.005	-0.500
1.015	0.000	0.097	-0.000	0.053	0.136	-0.058	0.500	-0.005	-0.500
1.020	0.000	0.097	-0.000	0.015	0.021	0.041	0.500	0.006	-0.500
1.025	0.000	0.098	-0.000	-0.043	0.095	0.139	0.500	-0.005	-0.500
1.030	0.000	0.098	-0.000	0.004	0.033	-0.111	0.500	0.019	-0.500
1.035	0.000	0.099	-0.000	-0.050	0.057	0.069	0.500	0.017	-0.500
1.040	0.000	0.099	-0.000	-0.036	0.074	-0.094	0.500	-0.007	-0.500
1.045	0.000	0.100	-0.000	0.040	0.122	0.005	0.500	-0.003	-0.500
1.050	0.000	0.100	-0.000	0.048	0.163	0.009	0.500	-0.022	-0.500
1.055	0.000	0.100	-0.000	-0.055	0.072	-0.104	0.500	0.006	-0.500
1.060	0.000	0.101	-0.000	0.017	0.077	-0.066	0.500	0.007	-0.500
1.065	0.000	0.101	-0.000	0.016	0.122	0.076	0.500	0.000	-0.500
1.070	0.000	0.102	-0.000	-0.037	0.078	0.067	0.500	-0.018	-0.500
1.075	0.000	0.102	-0.000	0.025	0.148	-0.024	0.500	-0.004	-0.500
1.080	0.000	0.103	-0.000	-0.051	0.065	-0.242	0.500	0.007	-0.500
1.085	0.000	0.103	-0.000	-0.073	-0.015	0.051	0.500	0.012	-0.500
1.090	0.000	0.103	-0.000	0.025	0.102	0.077	0.500	-0.003	-0.500
1.095	0.000	0.104	-0.000	-0.038	0.075	0.071	0.500	-0.014	-0.500
1.100	0.000	0.104	-0.000	-0.045	0.090	0.117	0.500	0.015	-0.500
1.105	0.000	0.105	-0.000	0.026	0.136	-0.265	0.500	-0.004	-0.500
1.110	0.000	0.105	-0.000	-0.033	0.023	0.029	0.500	-0.000	-0.500
1.115	0.000	0.106	-0.000	-0.006	0.046	0.075	0.500	-0.015	-0.500
1.120	0.000	0.106	-0.000	0.016	0.043	-0.058	0.500	0.008	-0.500
1.125	0.000	0.106	-0.000	0.001	0.117	-0.043	0.500	0.012	-0.500
1.130	0.000	0.107	-0.000	0.060	0.088	-0.001	0.500	-0.001	-0.500
1.135	0.000	0.107	-0.000	0.033	0.052	-0.203	0.500	0.007	-0.500
1.140	0.000	0.108	-0.000	-0.023	0.095	-0.039	0.500	-0.009	-0.500
1.145	0.000	0.108	-0.000	0.036	0.071	0.176	0.500	-0.021	-0.500
1.150	0.000	0.108	-0.000	-0.005	0.176	-0.034	0.500	0.012	-0.500
1.155	0.000	0.109	-0.000	0.048	0.005	-0.180	0.500	0.006	-0.500
1.160	0.000	0.109	-0.000	-0.052	0.100	0.076	0.500	0.008	-0.500
1.165	0.000	0.109	-0.000	0.082	-0.010	-0.079	0.500	-0.013	-0.500
1.170	0.000	0.110	-0.000	0.013	0.001	0.033	0.500	0.003	-0.500
1.175	0.000	0.110	-0.000	-0.015	0.063	0.005	0.500	0.000	-0.500
1.180	0.000	0.110	-0.000	-0.014	0.125	-0.076	0.500	0.014	-0.500
1.185	0.000	0.111	-0.000	0.025	0.102	-0.037	0.500	-0.006	-0.500
1.190	0.000	0.111	-0.000	0.043	0.041	0.057	0.500	-0.009	-0.500
1.195	0.000	0.111	-0.000	-0.014	0.128	0.190	0.500	0.010	-0.500
1.200	0.000	0.112	-0.000	0.034	0.109	0.015	0.500	-0.010	-0.500
1.205	0.000	0.112	-0.000	0.106	-0.008	-0.160	0.500	-0.008	-0.500
1.210	0.000	0.112	-0.000	-0.013	0.046	-0.051	0.500	-0.006	-0.500
1.215	0.000	0.113	-0.000	0.007	0.018	0.001	0.500	-0.008	-0.500
1.220	0.000	0.113	-0.000	0.039	0.046	0.072	0.500	0.004	-0.500
1.225	0.000	0.113	-0.000	0.012	0.041	-0.023	0.500	-0.006	-0.500
1.230	0.000	0.114	-0.000	0.051	-0.015	0.036	0.500	-0.000	-0.500
1.235	0.000	0.114	-0.000	0.033	0.079	0.019	0.500	-0.007	-0.500
1.240	0.000	0.114	-0.000	-0.059	0.071	0.106	0.500	0.002	-0.500
1.245	0.000	0.115	-0.000	0.027	0.086	0.156	0.500	0.013	-0.500
